img_path,seq
data\RE_data\img_org\test\inf.png, 
data\RE_data\img_org\test\twitter_19_31_0_13.jpg,a screenshot of a game with two different screens
data\RE_data\img_org\test\twitter_19_31_0_19.jpg,a night view of a town on a hill
data\RE_data\img_org\test\twitter_19_31_0_24.jpg,a blurry photo of a business logo
data\RE_data\img_org\test\twitter_19_31_0_60.jpg,a group of people walking down a dirt road
data\RE_data\img_org\test\twitter_19_31_0_62.jpg,a man laying on the ground with a ball in his hand
data\RE_data\img_org\test\twitter_19_31_0_8.jpg,a man and a woman riding bikes down a street
data\RE_data\img_org\test\twitter_19_31_12_20.jpg,a man standing on top of a cliff next to a body of water
data\RE_data\img_org\test\twitter_19_31_13_55.jpg,a man standing in front of a crowd of people
data\RE_data\img_org\test\twitter_19_31_13_77.jpg,a black and red football on a black background
data\RE_data\img_org\test\twitter_19_31_14_34.jpg,a siamese cat is laying on a couch
data\RE_data\img_org\test\twitter_19_31_14_97.jpg,a close up of many different types of wires
data\RE_data\img_org\test\twitter_19_31_15_4.jpg,a pair of brown shoes on a white background
data\RE_data\img_org\test\twitter_19_31_16_61.jpg,a woman speaking into microphones at a press conference
data\RE_data\img_org\test\twitter_19_31_16_98.jpg,a drawing of a woman with a big breast
data\RE_data\img_org\test\twitter_19_31_17_21.jpg,a man holding a sword in front of a clock
data\RE_data\img_org\test\twitter_19_31_17_40.jpg,a collage of photos of fans at a sporting event
data\RE_data\img_org\test\twitter_19_31_17_93.jpg,a woman with blonde hair wearing a blue shirt and black blazer
data\RE_data\img_org\test\twitter_19_31_18_95.jpg,the night sky with stars above a desert
data\RE_data\img_org\test\twitter_19_31_19_29.jpg,a woman in a short dress standing next to a pair of dices
data\RE_data\img_org\test\twitter_19_31_19_53.jpg,a traffic light with a flag in the background
data\RE_data\img_org\test\twitter_19_31_1_27.jpg,a man riding on the back of a white scooter
data\RE_data\img_org\test\twitter_19_31_1_30.jpg,a stuffed animal laying on top of a newspaper
data\RE_data\img_org\test\twitter_19_31_1_95.jpg,a couple of people that are talking to each other
data\RE_data\img_org\test\twitter_19_31_20_24.jpg,a man holding a rugby ball in front of a group of children
data\RE_data\img_org\test\twitter_19_31_22_54.jpg,a couple of people that are kissing each other
data\RE_data\img_org\test\twitter_19_31_22_85.jpg,a person holding up a yellow piece of paper with a picture on it
data\RE_data\img_org\test\twitter_19_31_22_92.jpg,india takes huge strides towards a gas based economy
data\RE_data\img_org\test\twitter_19_31_23_11.jpg,two rugby players standing next to each other
data\RE_data\img_org\test\twitter_19_31_23_27.jpg,a man taking a picture of a man holding a flower
data\RE_data\img_org\test\twitter_19_31_23_46.jpg,a lot of cars that are in a parking lot
