img_path,seq
data\NER_data\twitter2017_images\16_05_01_100.jpg,a soccer player in action on the field
data\NER_data\twitter2017_images\16_05_01_102.jpg,a woman wearing a white shirt and a black tie
data\NER_data\twitter2017_images\16_05_01_103.jpg,a man standing in front of a crowd of people
data\NER_data\twitter2017_images\16_05_01_105.jpg,a football player holding a football in his hands
data\NER_data\twitter2017_images\16_05_01_107.jpg,a group of people sitting in a stadium watching a baseball game
data\NER_data\twitter2017_images\16_05_01_113.jpg,a little girl laying in a bed with a dog
data\NER_data\twitter2017_images\16_05_01_115.jpg,a male soccer player in a white shirt and a crowd of people
data\NER_data\twitter2017_images\16_05_01_116.jpg,a woman standing at a podium in front of an american flag
data\NER_data\twitter2017_images\16_05_01_117.jpg,a crowd of people watching a baseball game
data\NER_data\twitter2017_images\16_05_01_122.jpg,a man standing on top of a soccer field
data\NER_data\twitter2017_images\16_05_01_125.jpg,a pile of debris sitting on top of a hard wood floor
data\NER_data\twitter2017_images\16_05_01_127.jpg,the philadelphia phillies logo on a white background
data\NER_data\twitter2017_images\16_05_01_129.jpg,a shirtless man holding a microphone up to his mouth
data\NER_data\twitter2017_images\16_05_01_130.jpg,a group of men playing a game of basketball
data\NER_data\twitter2017_images\16_05_01_132.jpg,a group of people standing in front of a sign
data\NER_data\twitter2017_images\16_05_01_138.jpg,a group of young men playing a game of soccer
data\NER_data\twitter2017_images\16_05_01_139.jpg,"a blue background with a white text that reads, 28 of 31 first round picks played multiple sports in high school"
data\NER_data\twitter2017_images\16_05_01_140.jpg,a medal with a picture of a man on it
data\NER_data\twitter2017_images\16_05_01_142.jpg,a baseball player sliding into a base during a game
data\NER_data\twitter2017_images\16_05_01_143.jpg,a group of men playing a game of soccer
data\NER_data\twitter2017_images\16_05_01_146.jpg,a football player is running with the ball
data\NER_data\twitter2017_images\16_05_01_147.jpg,a group of hockey players sitting next to each other
data\NER_data\twitter2017_images\16_05_01_149.jpg,a group of young men standing next to each other
data\NER_data\twitter2017_images\16_05_01_153.jpg,a black and white photo of a woman with her hands in her mouth
data\NER_data\twitter2017_images\16_05_01_155.jpg,a man in a red and white shirt holding a soccer ball
data\NER_data\twitter2017_images\16_05_01_160.jpg,a magazine with a picture of a flower on it
data\NER_data\twitter2017_images\16_05_01_163.jpg,a man standing on a red carpet wearing a blue jacket and black pants
data\NER_data\twitter2017_images\16_05_01_166.jpg,["a screenshot of the game's main menu"]
data\NER_data\twitter2017_images\16_05_01_175.jpg,a screenshot of a character in a game
data\NER_data\twitter2017_images\16_05_01_188.jpg,a screen shot of a web page with a cartoon character on it
data\NER_data\twitter2017_images\16_05_01_189.jpg,a group of men standing next to each other
data\NER_data\twitter2017_images\16_05_01_191.jpg,a group of men riding on the back of a truck
data\NER_data\twitter2017_images\16_05_01_193.jpg,a group of people standing on top of a lush green field
data\NER_data\twitter2017_images\16_05_01_202.jpg,a large screen in the middle of a large auditorium
data\NER_data\twitter2017_images\16_05_01_204.jpg,two young men standing on a soccer field
data\NER_data\twitter2017_images\16_05_01_205.jpg,a crowd of people watching a basketball game
data\NER_data\twitter2017_images\16_05_01_206.jpg,a large crowd of people standing around a stage
data\NER_data\twitter2017_images\16_05_01_208.jpg,a man with a suit and tie on a poster
data\NER_data\twitter2017_images\16_05_01_209.jpg,a woman with a furry hood on her head
data\NER_data\twitter2017_images\16_05_01_217.jpg,a collage of photos of people getting tattoos
data\NER_data\twitter2017_images\16_05_01_221.jpg,a couple of people standing on top of a stage
data\NER_data\twitter2017_images\16_05_01_222.jpg,a man in a business suit pointing to the word credit
data\NER_data\twitter2017_images\16_05_01_223.jpg,a room with a pool table and a pool table
data\NER_data\twitter2017_images\16_05_01_225.jpg,a glass of wine sitting on top of a table
data\NER_data\twitter2017_images\16_05_01_240.jpg,a man holding a soccer ball on top of a field
data\NER_data\twitter2017_images\16_05_01_246.jpg,a car driving down a road with smoke coming out of it
data\NER_data\twitter2017_images\16_05_01_249.jpg,a group of people taking pictures of a man on a stage
data\NER_data\twitter2017_images\16_05_01_253.jpg,a drawing of a person with an umbrella on top of a tree stump
data\NER_data\twitter2017_images\16_05_01_254.jpg,a man in a blue hoodie smiles at the camera
data\NER_data\twitter2017_images\16_05_01_260.jpg,a group of men standing on top of a stage
data\NER_data\twitter2017_images\16_05_01_266.jpg,a couple of men standing next to each other
data\NER_data\twitter2017_images\16_05_01_270.jpg,a poster for the mc2h art festival
data\NER_data\twitter2017_images\16_05_01_274.jpg,a collage of photos of a girl in a tutu dancing
data\NER_data\twitter2017_images\16_05_01_275.jpg,the cover of a magazine with a picture of a woman
data\NER_data\twitter2017_images\16_05_01_276.jpg,the chicago white sox logo on a black background
data\NER_data\twitter2017_images\16_05_01_281.jpg,a basketball player with his fist up in the air
data\NER_data\twitter2017_images\16_05_01_283.jpg,a sign that says facebook today on it
data\NER_data\twitter2017_images\16_05_01_284.jpg,a crowd of people standing around a purple building
data\NER_data\twitter2017_images\16_05_01_289.jpg,a man playing a guitar in the woods
data\NER_data\twitter2017_images\16_05_01_29.jpg,a woman standing in front of a tv with the words 3 years ago on it
data\NER_data\twitter2017_images\16_05_01_293.jpg,a group of men playing a game of soccer
data\NER_data\twitter2017_images\16_05_01_302.jpg,a group of people sitting in chairs watching a television
data\NER_data\twitter2017_images\16_05_01_303.jpg,a man in a tuxedo holding a trophy
data\NER_data\twitter2017_images\16_05_01_304.jpg,a couple of women sitting next to each other at a table
data\NER_data\twitter2017_images\16_05_01_307.jpg,a group of young children standing on top of a soccer field
data\NER_data\twitter2017_images\16_05_01_308.jpg,a couple of men sitting next to each other holding glasses of beer
data\NER_data\twitter2017_images\16_05_01_309.jpg,a group of people running in a race
data\NER_data\twitter2017_images\16_05_01_31.jpg,a couple of men sitting next to each other
data\NER_data\twitter2017_images\16_05_01_310.jpg,a man in a tuxedo is surrounded by people
data\NER_data\twitter2017_images\16_05_01_318.jpg,"a text message that reads, when i look on my life, i overpadd for my big success every time"
data\NER_data\twitter2017_images\16_05_01_326.jpg,a flyer for a basketball game with a picture of a basketball player
data\NER_data\twitter2017_images\16_05_01_327.jpg,a man holding a camera on the side of a road
data\NER_data\twitter2017_images\16_05_01_329.jpg,a vase with a painting on it sitting on a stand
data\NER_data\twitter2017_images\16_05_01_334.jpg,a man in a blue soccer uniform holding his head
